episode,horizon,angle_rmse_rad,velocity_rmse_rad_s,state_mse,policy
2008,25,0.009865094907581806,0.06300945580005646,0.0013558369828388095,more_random
2009,1,0.0013702332507818937,0.009885021485388279,3.319701136206277e-05,more_random
2009,5,0.004967977292835712,0.02568974159657955,0.00022821432503405958,more_random
2009,10,0.0072952923364937305,0.048561885952949524,0.0008038258529268205,more_random
2009,25,0.023273315280675888,0.1107519268989563,0.004269197583198547,more_random
2000,1,0.002037056488916278,0.009488923475146294,3.1396393751492724e-05,planner_data
2000,5,0.009783115237951279,0.040809266269207,0.0005870343302376568,planner_data
2000,10,0.022761980071663857,0.07518325746059418,0.0020568417385220528,planner_data
2000,25,0.25721994042396545,0.6848411560058594,0.17782069742679596,planner_data
2001,1,0.003790046786889434,0.00568490382283926,1.556084862386342e-05,planner_data
2001,5,0.014767149463295937,0.03522973507642746,0.00048639625310897827,planner_data
2001,10,0.040320318192243576,0.11011965572834015,0.004583714995533228,planner_data
2001,25,0.07201174646615982,0.20056967437267303,0.01513646449893713,planner_data
2002,1,0.0005317330360412598,0.008073708973824978,2.182250864279922e-05,planner_data
2002,5,0.006581667345017195,0.03526780754327774,0.00042904543806798756,planner_data
2002,10,0.01580335572361946,0.04691179469227791,0.0008168187341652811,planner_data
2002,25,0.016782421618700027,0.04077239707112312,0.0006480092415586114,planner_data
2003,1,0.0011531340423971415,0.005322773940861225,9.887222404358909e-06,planner_data
2003,5,0.003010484157130122,0.024662598967552185,0.00020576897077262402,planner_data
2003,10,0.01060681976377964,0.057680465281009674,0.0011465122224763036,planner_data
2003,25,0.05155862495303154,0.1379319429397583,0.007227197289466858,planner_data
2004,1,0.002264866605401039,0.0012002805015072227,2.1901003037783084e-06,planner_data
2004,5,0.01114379521459341,0.01560705155134201,0.00012258732749614865,planner_data
2004,10,0.026559699326753616,0.06198921799659729,0.0015160009497776628,planner_data
2004,25,0.34371352195739746,1.1226062774658203,0.45764970779418945,planner_data
2005,1,0.0019414382986724377,0.00599150313064456,1.3222465895523783e-05,planner_data
2005,5,0.007472212892025709,0.028150061145424843,0.00028275285148993134,planner_data
2005,10,0.019106458872556686,0.06624525785446167,0.001584474928677082,planner_data
2005,25,0.05964997038245201,0.21233195066452026,0.016212912276387215,planner_data
2006,1,0.0006367340683937073,0.00865551084280014,2.5107770852628164e-05,planner_data
2006,5,0.005670137703418732,0.03760147839784622,0.0004820070753339678,planner_data
2006,10,0.01486149337142706,0.05312158912420273,0.0010142541723325849,planner_data
2006,25,0.01879029907286167,0.04673180356621742,0.0008456397335976362,planner_data
2007,1,0.0008778076153248549,0.008802849799394608,2.608689828775823e-05,planner_data
2007,5,0.0017021934036165476,0.046674542129039764,0.0007271366775967181,planner_data
2007,10,0.014126933179795742,0.06215012073516846,0.001354067586362362,planner_data
2007,25,0.044382493942976,0.06599342823028564,0.0021080730948597193,planner_data
2008,1,0.0006021885201334953,0.008786484599113464,2.5855008061625995e-05,planner_data
2008,5,0.005267084576189518,0.03808477148413658,0.0004927304689772427,planner_data
2008,10,0.014682200737297535,0.047832902520895004,0.0008345156093128026,planner_data
2008,25,0.020893093198537827,0.03962701931595802,0.0006689306464977562,planner_data
2009,1,0.0018066843040287495,0.008436491712927818,2.4812781703076325e-05,planner_data
2009,5,0.006046104244887829,0.02464507333934307,0.00021464488236233592,planner_data
2009,10,0.007606950122863054,0.04432639479637146,0.0006742312689311802,planner_data
2009,25,0.027145134285092354,0.0756177008152008,0.002151606837287545,planner_data
