policy,condition,seed,return,final_distance,last10_mean_distance,success
more_updates,delay_2,10017,-15.860216488378285,0.08840048873787977,0.088757863206013,0
more_updates,delay_2,10018,-15.547457419138727,0.16473561669231263,0.17244098872429875,0
more_updates,delay_2,10019,-11.837031506170234,0.028889157049764542,0.11153626530980465,0
more_updates,delay_2,10020,-14.811013759000176,0.16076926941017403,0.18522019715368898,0
more_updates,delay_2,10021,-8.10108205509741,0.17076748798821764,0.15628736455405687,0
more_updates,delay_2,10022,-15.773050382365847,0.171118574502583,0.17333191963177114,0
more_updates,delay_2,10023,-4.887349483253371,0.061167042487959865,0.06425941462175186,0
more_updates,delay_2,10024,-15.39772848818584,0.12491448009885174,0.26908389353998013,0
more_updates,delay_2,10025,-11.788600358005324,0.12287253574915842,0.12296042651355601,0
more_updates,delay_2,10026,-9.215904257769179,0.2677599025659143,0.2161641272261722,0
more_updates,delay_2,10027,-11.060378724339897,0.14847350599073597,0.14044549924941033,0
more_updates,delay_2,10028,-13.896247971744103,0.13259329529986277,0.1466605497467712,0
more_updates,delay_2,10029,-9.618686397123922,0.38246069459924315,0.333689667783435,0
more_expert,delay_0,10000,-5.674358516471176,0.004795526226414665,0.005529100941306547,1
more_expert,delay_0,10001,-10.911323409023051,0.10178806866764066,0.10203703240808304,0
more_expert,delay_0,10002,-2.8160758303828053,0.0018339498256464434,0.0020711914387575242,1
more_expert,delay_0,10003,-6.3297918345204724,0.02708339307086134,0.025411414970017678,0
more_expert,delay_0,10004,-11.993349028339635,0.31910568603631834,0.24470802557642454,0
more_expert,delay_0,10005,-6.871077890456022,0.0398020394079105,0.03965292186955566,0
more_expert,delay_0,10006,-7.398657160771063,0.08891912130242095,0.07087627951219874,0
more_expert,delay_0,10007,-4.639379889284279,0.004205640717413757,0.004118377014106874,1
more_expert,delay_0,10008,-1.415797752605321,0.0041427983508002,0.0043904590575664666,1
more_expert,delay_0,10009,-3.6869713938492295,0.007467616943607529,0.0064363016968924545,1
more_expert,delay_0,10010,-3.5090269748730045,0.10469790753526062,0.09584649680827759,0
more_expert,delay_0,10011,-3.9384794280671227,0.0014817163308153518,0.001297171058936251,1
more_expert,delay_0,10012,-6.14066122237849,0.012268655722629333,0.011320208715790769,1
more_expert,delay_0,10013,-5.598249323336424,0.011055104531380472,0.009696801477930003,1
more_expert,delay_0,10014,-3.672506074630856,0.005432745631551426,0.005774444815112073,1
more_expert,delay_0,10015,-11.734706808287974,0.20202708950059345,0.1805883401047034,0
more_expert,delay_0,10016,-5.06116342263653,0.011148731329099585,0.01171066109961631,1
more_expert,delay_0,10017,-7.649985883196683,0.021716236951802408,0.020818572004461283,1
more_expert,delay_0,10018,-6.539139990231348,0.013057391276816281,0.01359046776420233,1
more_expert,delay_0,10019,-3.6824497168393955,0.009006065946916041,0.008306067491491612,1
more_expert,delay_0,10020,-6.334246122143942,0.007679193274045262,0.008059448044089815,1
more_expert,delay_0,10021,-3.0271853493503276,0.0014434871711599445,0.0011227875945998785,1
more_expert,delay_0,10022,-6.466093272996495,0.009483667780235749,0.010807280792858174,1
more_expert,delay_0,10023,-2.4763960366093514,0.0018412559431710816,0.0018404337973436983,1
more_expert,delay_0,10024,-5.415741947184482,0.013480439794114993,0.013207253431232474,1
more_expert,delay_0,10025,-5.702796041019434,0.009505147879397302,0.00895636962011106,1
more_expert,delay_0,10026,-3.6394521555093187,0.007512057525913646,0.007978127689423931,1
more_expert,delay_0,10027,-4.492159014562038,0.00276073318183283,0.0014867790397349936,1
more_expert,delay_0,10028,-8.294137482096044,0.09422776629227343,0.09229316954805786,0
more_expert,delay_0,10029,-1.7857611837434062,0.009014240926664913,0.008272215683973547,1
more_expert,delay_2,10000,-14.773210384727523,0.0857170550149574,0.15792095319902494,0
more_expert,delay_2,10001,-15.47968323000039,0.13471092185152708,0.1361264371011537,0
more_expert,delay_2,10002,-12.336162591072995,0.22283793577601427,0.3158518757577381,0
more_expert,delay_2,10003,-12.264192308287587,0.09489778637165336,0.11107547019311645,0
more_expert,delay_2,10004,-15.48207182068356,0.14170597381298003,0.14473995163920933,0
more_expert,delay_2,10005,-8.267028959930315,0.014240746151781012,0.017707467340329106,1
more_expert,delay_2,10006,-12.980428970392339,0.12688422216346715,0.13265791527164844,0
more_expert,delay_2,10007,-8.79133480826411,0.12625220788426283,0.11396522230971243,0
more_expert,delay_2,10008,-3.918371727115801,0.04224215434648506,0.046604037078719074,0
more_expert,delay_2,10009,-10.727526043597374,0.04741219633214289,0.08611981518893089,0
more_expert,delay_2,10010,-10.239020087253586,0.39461203813622914,0.36153755165772417,0
more_expert,delay_2,10011,-7.915673080823951,0.12073776666838673,0.10785284091334917,0
more_expert,delay_2,10012,-13.226537998998758,0.09917447366735409,0.11443842690229493,0
more_expert,delay_2,10013,-9.414067843827453,0.0773618949783197,0.07434207727433462,0
