policy,condition,seed,return,upright_fraction
sac_0,delay_0_g12,10005,-1315.4866684582921,0.0
sac_0,delay_0_g12,10006,-1438.0772189642207,0.0
sac_0,delay_0_g12,10007,-1245.6994467089387,0.0
sac_0,delay_0_g12,10008,-1198.2420278089667,0.0
sac_0,delay_0_g12,10009,-1191.1820163538093,0.01
sac_0,delay_0_g12,10010,-1450.84192268069,0.0
sac_0,delay_0_g12,10011,-1192.0709876627548,0.015
sac_0,delay_0_g12,10012,-1542.1898826826432,0.0
sac_0,delay_0_g12,10013,-1170.1662429716464,0.0
sac_0,delay_0_g12,10014,-1467.8112221984227,0.0
sac_0,delay_0_g12,10015,-1167.0877538195607,0.015
sac_2000,delay_0_g12,10000,-1172.879682028986,0.035
sac_2000,delay_0_g12,10001,-1314.8187838150805,0.0
sac_2000,delay_0_g12,10002,-1285.5731686990239,0.0
sac_2000,delay_0_g12,10003,-1308.0645230134392,0.0
sac_2000,delay_0_g12,10004,-1357.3492537085435,0.0
sac_2000,delay_0_g12,10005,-1338.1088262462856,0.0
sac_2000,delay_0_g12,10006,-1368.0235005797447,0.0
sac_2000,delay_0_g12,10007,-1349.453244004142,0.0
sac_2000,delay_0_g12,10008,-1257.6017502116222,0.0
sac_2000,delay_0_g12,10009,-1190.3093576694957,0.015
sac_2000,delay_0_g12,10010,-1365.9264711456935,0.0
sac_2000,delay_0_g12,10011,-1171.0082708301384,0.04
sac_2000,delay_0_g12,10012,-1391.4826631708613,0.0
sac_2000,delay_0_g12,10013,-1220.4727745965822,0.0
sac_2000,delay_0_g12,10014,-1376.3100028144981,0.0
sac_2000,delay_0_g12,10015,-1144.921523538791,0.04
sac_10000,delay_0_g12,10000,-1.0843696389610744,1.0
sac_10000,delay_0_g12,10001,-117.194613072722,0.88
sac_10000,delay_0_g12,10002,-124.0991676905615,0.855
sac_10000,delay_0_g12,10003,-118.92253597940936,0.875
sac_10000,delay_0_g12,10004,-233.47413845642112,0.75
sac_10000,delay_0_g12,10005,-114.51744346916672,0.84
sac_10000,delay_0_g12,10006,-233.56685043022784,0.785
sac_10000,delay_0_g12,10007,-242.16416383272312,0.715
sac_10000,delay_0_g12,10008,-125.98180971286261,0.825
sac_10000,delay_0_g12,10009,-1.1845585431679813,1.0
sac_10000,delay_0_g12,10010,-222.16769852042006,0.795
sac_10000,delay_0_g12,10011,-1.0451176264983189,1.0
sac_10000,delay_0_g12,10012,-220.9571592994597,0.805
sac_10000,delay_0_g12,10013,-2.543519479798049,0.935
sac_10000,delay_0_g12,10014,-238.1381540735493,0.785
sac_10000,delay_0_g12,10015,-1.0397271958387477,1.0
